ID;NMT;anio;mes;dia;LAEQ;LAS01;LAS10;LAS50;LAS90;LAS99;tipo_D;tipo_E;tipo_N;tipo_T;cluster
38299;2;2015;1;26;66.2;72.9;69.3;63.3;56.3;51.1;0.0;0.0;1.0;0.0;1
38300;2;2015;1;26;69.2;75.7;71.4;68.0;60.1;53.2;0.0;0.0;0.0;1.0;0
38421;2;2015;1;27;70.8;77.2;72.3;69.7;66.5;63.7;1.0;0.0;0.0;0.0;2
38422;2;2015;1;27;69.9;76.7;71.3;68.6;64.8;61.8;0.0;1.0;0.0;0.0;2
38423;2;2015;1;27;66.1;73.4;69.1;63.0;55.9;51.4;0.0;0.0;1.0;0.0;1
38424;2;2015;1;27;69.5;76.4;71.6;68.4;60.4;53.1;0.0;0.0;0.0;1.0;0
38545;2;2015;1;28;70.8;77.2;72.2;69.6;66.4;63.3;1.0;0.0;0.0;0.0;2
38546;2;2015;1;28;69.5;75.9;71.4;68.7;65.0;61.6;0.0;1.0;0.0;0.0;2
38547;2;2015;1;28;66.5;73.1;69.5;63.9;57.3;52.6;0.0;0.0;1.0;0.0;1
38548;2;2015;1;28;69.6;76.4;71.6;68.5;61.1;54.6;0.0;0.0;0.0;1.0;0
38669;2;2015;1;29;71.1;78.1;72.4;69.9;66.8;64.0;1.0;0.0;0.0;0.0;2
38670;2;2015;1;29;70.6;77.8;71.7;69.0;65.6;62.5;0.0;1.0;0.0;0.0;2
38671;2;2015;1;29;70.0;77.1;71.8;68.7;61.2;54.0;0.0;0.0;0.0;1.0;0
38789;2;2015;1;30;71.4;78.8;72.5;69.8;66.6;63.8;1.0;0.0;0.0;0.0;2
38790;2;2015;1;30;71.0;77.2;72.8;70.4;67.4;64.6;0.0;1.0;0.0;0.0;2
38791;2;2015;1;30;66.6;73.1;69.6;64.9;59.0;55.2;0.0;0.0;1.0;0.0;1
38792;2;2015;1;30;70.3;76.8;72.2;69.0;62.4;56.6;0.0;0.0;0.0;1.0;0
38910;2;2015;1;31;71.1;80.1;72.1;69.0;64.8;61.1;1.0;0.0;0.0;0.0;2
38911;2;2015;1;31;69.9;76.7;71.6;69.1;65.8;62.9;0.0;1.0;0.0;0.0;2
38912;2;2015;1;31;69.3;74.4;71.6;68.1;63.6;60.6;0.0;0.0;1.0;0.0;2
38913;2;2015;1;31;70.3;78.1;71.8;68.7;64.3;60.9;0.0;0.0;0.0;1.0;0
39030;2;2015;2;1;69.9;77.9;71.2;68.1;63.2;59.6;1.0;0.0;0.0;0.0;2
39031;2;2015;2;1;69.4;75.4;70.9;68.2;64.1;60.5;0.0;1.0;0.0;0.0;2
39032;2;2015;2;1;68.5;74.8;70.7;66.9;61.7;58.4;0.0;0.0;1.0;0.0;2
39033;2;2015;2;1;69.4;76.1;71.0;67.7;62.7;59.0;0.0;0.0;0.0;1.0;0
39150;2;2015;2;2;71.8;77.2;73.6;70.7;67.3;64.6;1.0;0.0;0.0;0.0;2
39151;2;2015;2;2;71.0;76.4;73.1;70.3;65.8;62.2;0.0;1.0;0.0;0.0;2
39152;2;2015;2;2;66.1;73.1;69.3;63.0;55.8;50.9;0.0;0.0;1.0;0.0;1
39153;2;2015;2;2;70.4;76.1;73.0;69.3;60.2;52.9;0.0;0.0;0.0;1.0;0
39273;2;2015;2;3;71.3;76.3;73.2;70.7;67.2;64.4;1.0;0.0;0.0;0.0;2
39274;2;2015;2;3;71.7;77.0;73.7;70.7;66.5;63.7;0.0;1.0;0.0;0.0;2
39275;2;2015;2;3;66.2;73.1;69.9;63.7;56.6;51.8;0.0;0.0;1.0;0.0;1
39276;2;2015;2;3;70.4;75.9;72.8;69.5;60.8;53.4;0.0;0.0;0.0;1.0;0
39397;2;2015;2;4;70.9;70.9;76.8;72.3;69.8;66.3;1.0;0.0;0.0;0.0;2
39398;2;2015;2;4;70.0;75.0;75.7;71.9;69.2;64.6;0.0;1.0;0.0;0.0;2
39399;2;2015;2;4;66.9;73.4;69.6;63.6;56.0;51.1;0.0;0.0;1.0;0.0;1
39400;2;2015;2;4;69.7;75.7;71.8;68.5;60.3;53.0;0.0;0.0;0.0;1.0;0
39521;2;2015;2;5;70.9;76.9;72.3;69.8;66.4;63.3;1.0;0.0;0.0;0.0;2
39522;2;2015;2;5;70.4;76.2;71.7;69.2;65.2;61.4;0.0;1.0;0.0;0.0;2
39523;2;2015;2;5;66.5;74.9;69.6;63.5;55.5;50.8;0.0;0.0;1.0;0.0;1
39524;2;2015;2;5;69.8;76.8;71.9;68.6;60.3;52.8;0.0;0.0;0.0;1.0;0
39645;2;2015;2;6;71.2;77.4;72.5;69.8;66.3;62.5;1.0;0.0;0.0;0.0;2
39646;2;2015;2;6;71.1;76.4;71.8;69.5;65.8;62.2;0.0;1.0;0.0;0.0;2
39647;2;2015;2;6;67.4;74.8;70.0;64.8;58.3;53.9;0.0;0.0;1.0;0.0;1
39648;2;2015;2;6;70.3;77.1;72.0;68.9;62.0;55.6;0.0;0.0;0.0;1.0;0
39769;2;2015;2;7;70.3;77.0;72.3;69.3;64.3;60.6;1.0;0.0;0.0;0.0;2
39770;2;2015;2;7;70.4;76.1;71.6;69.3;65.2;61.1;0.0;1.0;0.0;0.0;2
39771;2;2015;2;7;68.3;74.2;70.3;66.5;61.6;58.3;0.0;0.0;1.0;0.0;2
39772;2;2015;2;7;69.7;76.4;71.8;68.5;63.1;59.3;0.0;0.0;0.0;1.0;0
39893;2;2015;2;8;69.0;76.1;70.9;67.8;62.7;58.9;1.0;0.0;0.0;0.0;2
39894;2;2015;2;8;69.4;75.2;71.1;68.5;64.3;61.2;0.0;1.0;0.0;0.0;2
39895;2;2015;2;8;68.4;75.4;70.9;67.0;61.6;58.4;0.0;0.0;1.0;0.0;2
39896;2;2015;2;8;68.9;76.1;70.9;67.7;62.4;58.7;0.0;0.0;0.0;1.0;0
40017;2;2015;2;9;70.5;75.8;72.2;69.7;66.1;62.9;1.0;0.0;0.0;0.0;2
40018;2;2015;2;9;69.1;74.7;71.2;68.5;63.9;60.3;0.0;1.0;0.0;0.0;2
40019;2;2015;2;9;66.2;73.3;69.5;62.9;54.6;49.8;0.0;0.0;1.0;0.0;1
40020;2;2015;2;9;69.2;75.1;71.6;68.3;59.4;51.8;0.0;0.0;0.0;1.0;0
40141;2;2015;2;10;70.5;76.3;72.3;69.7;66.3;63.4;1.0;0.0;0.0;0.0;2
40142;2;2015;2;10;70.0;76.7;71.2;68.1;64.3;60.7;0.0;1.0;0.0;0.0;2
40143;2;2015;2;10;65.4;72.6;69.0;62.6;54.9;49.4;0.0;0.0;1.0;0.0;1
40144;2;2015;2;10;69.3;75.4;71.6;68.1;59.5;51.6;0.0;0.0;0.0;1.0;0
40265;2;2015;2;11;70.8;76.7;72.3;69.8;66.4;63.6;1.0;0.0;0.0;0.0;2
40266;2;2015;2;11;70.1;76.1;71.5;68.8;64.9;61.2;0.0;1.0;0.0;0.0;2
40267;2;2015;2;11;65.2;72.0;68.9;63.0;55.5;49.8;0.0;0.0;1.0;0.0;1
40268;2;2015;2;11;69.5;75.4;71.7;68.4;60.0;52.2;0.0;0.0;0.0;1.0;0
40389;2;2015;2;12;70.8;78.1;72.4;69.7;66.4;63.6;1.0;0.0;0.0;0.0;2
40390;2;2015;2;12;70.9;76.4;71.6;69.0;65.5;62.4;0.0;1.0;0.0;0.0;2
40391;2;2015;2;12;65.7;72.6;69.2;63.2;56.1;51.2;0.0;0.0;1.0;0.0;1
40392;2;2015;2;12;69.7;75.7;71.7;68.6;60.3;53.4;0.0;0.0;0.0;1.0;0
